,awardYear,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,links.rel,links.href,links.action,links.types,dateAwarded,topMotivation.en,topMotivation.se,0,id,knownName,links,motivation,orgName,portion,sortOrder
107,1922,122483,3145967,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1922,Get,application/json,1922-12-10,,,,487,{'en': 'Fridtjof Nansen'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/487', 'action': 'Get', 'types': 'application/json'}","{'en': ""for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees"", 'no': 'for sin ledende rolle i forbindelse med tilbakesendelsen av krigsfanger, internasjonalt hjelpearbeid og rollen som Folkeforbundets høykommissær for flyktninger'}",,1,1
108,1922,122483,3145967,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1922,Get,application/json,,,,,27,{'en': 'Niels Bohr'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/27', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his services in the investigation of the structure of atoms and of the radiation emanating from them', 'se': 'för hans förtjänster om utforskandet av atomernas struktur och den från dem utgående strålningen'}",,1,1
109,1922,122483,3145967,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1922,Get,application/json,,,,,311,{'en': 'Archibald V. Hill'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/311', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discovery relating to the production of heat in the muscle', 'se': 'för hans upptäckt rörande värmetoningen i muskeln'}",,1/2,1
110,1923,114935,3169164,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1923,Get,application/json,,,,,181,{'en': 'Fritz Pregl'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/181', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his invention of the method of micro-analysis of organic substances', 'se': 'för den av honom uppfunna mikroanalysen av organiska ämnen'}",,1,1
111,1923,114935,3169164,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1923,Get,application/json,,,,,593,{'en': 'William Butler Yeats'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/593', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation', 'se': 'för hans ständigt besjälade diktning, som i den strängaste konstnärliga form ger uttryck åt ett folks anda'}",,1,1
112,1923,114935,3169164,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1923,Get,application/json,,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,,,,,,,,,
113,1923,114935,3169164,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1923,Get,application/json,,,,,28,{'en': 'Robert A. Millikan'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/28', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his work on the elementary charge of electricity and on the photoelectric effect', 'se': 'för hans arbeten rörande den elektriska enhetsladdningen samt den fotoelektriska effekten'}",,1,1
114,1923,114935,3169164,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1923,Get,application/json,,,,,313,{'en': 'Frederick G. Banting'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/313', 'action': 'Get', 'types': 'application/json'}","{'en': 'for the discovery of insulin', 'se': 'för upptäckten av insulin'}",,1/2,1
115,1924,116719,3218355,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1924,Get,application/json,,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,,,,,,,,,
116,1924,116719,3218355,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1924,Get,application/json,,,,,594,{'en': 'Wladyslaw Reymont'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/594', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his great national epic, <I>The Peasants</I>', 'se': 'för hans stora nationalepos Bönderna'}",,1,1
