year_awarded,nobel_prize,recipient,gender,prize_amount,birth_place
1938,The Nobel Prize in Chemistry,Richard Kuhn,male,155077,Austria-Hungary
1938,The Nobel Prize in  Literature,Pearl Buck,female,155077,USA
1938,The Nobel Peace Prize,Nansen International Office for Refugees,NULL,155077,NULL
1938,The Nobel Prize in Physics,Enrico Fermi,male,155077,Italy
1938,The Nobel Prize in Physiology or Medicine,Corneille Heymans,male,155077,Belgium
1939,The Nobel Prize in Chemistry,Adolf Butenandt,male,148822,Germany
1939,The Nobel Prize in  Literature,Frans Eemil Sillanpää,male,148822,Russian Empire
1939,The Nobel Prize in Physics,Ernest Lawrence,male,148822,USA
1939,The Nobel Prize in Physiology or Medicine,Gerhard Domagk,male,148822,Germany
1943,The Nobel Prize in Chemistry,George de Hevesy,male,123691,Austria-Hungary
1943,The Nobel Prize in Physics,Otto Stern,male,123691,Germany
1943,The Nobel Prize in Physiology or Medicine,Henrik Dam,male,123691,Denmark
1944,The Nobel Prize in Chemistry,Otto Hahn,male,121841,Germany
1944,The Nobel Prize in  Literature,Johannes V. Jensen,male,121841,Denmark
1944,The Nobel Peace Prize,International Committee of the Red Cross,NULL,121841,NULL
1944,The Nobel Prize in Physics,Isidor Isaac Rabi,male,121841,Austria-Hungary
1944,The Nobel Prize in Physiology or Medicine,Joseph Erlanger,male,121841,USA
1945,The Nobel Prize in Chemistry,Artturi Virtanen,male,121333,Russian Empire
1945,The Nobel Prize in  Literature,Gabriela Mistral,female,121333,Chile
1945,The Nobel Peace Prize,Cordell Hull,male,121333,USA
1945,The Nobel Prize in Physics,Wolfgang Pauli,male,121333,Austria
1945,The Nobel Prize in Physiology or Medicine,Sir Alexander Fleming,male,121333,Scotland
1946,The Nobel Prize in Chemistry,James B. Sumner,male,121524,USA
1946,The Nobel Prize in  Literature,Hermann Hesse,male,121524,Germany
1946,The Nobel Peace Prize,Emily Greene Balch,female,121524,USA
1946,The Nobel Prize in Physics,Percy W. Bridgman,male,121524,USA
1946,The Nobel Prize in Physiology or Medicine,Hermann J. Muller,male,121524,USA
1947,The Nobel Prize in Chemistry,Sir Robert Robinson,male,146115,United Kingdom
1947,The Nobel Prize in  Literature,André Gide,male,146115,France
1947,The Nobel Peace Prize,Friends Service Council,NULL,146115,NULL
1947,The Nobel Prize in Physics,Edward V. Appleton,male,146115,United Kingdom
1947,The Nobel Prize in Physiology or Medicine,Carl Cori,male,146115,Austria-Hungary
1948,The Nobel Prize in Chemistry,Arne Tiselius,male,159773,Sweden
1948,The Nobel Prize in  Literature,T.S. Eliot,male,159773,USA
1948,The Nobel Prize in Physics,Patrick M.S. Blackett,male,159773,United Kingdom
1948,The Nobel Prize in Physiology or Medicine,Paul Müller,male,159773,Switzerland
1949,The Nobel Prize in Chemistry,William F. Giauque,male,156290,Canada
