,id,knownName.en,orgName.en,gender,birth.date,birth.place.country.en
913,154,William D. Phillips,,male,1948-11-05,USA
914,911,William E. Moerner,,male,1953-06-24,USA
915,209,William F. Giauque,,male,1895-05-12,Canada
916,706,William F. Sharpe,,male,1934-06-16,USA
917,620,William Faulkner,,male,1897-09-25,USA
918,970,William G. Kaelin Jr,,male,1957-11-23,USA
919,660,William Golding,,male,1911-09-19,United Kingdom
920,243,William H. Stein,,male,1911-06-25,USA
921,741,William Knowles,,male,1917-06-01,USA
922,249,William Lipscomb,,male,1919-12-09,USA
923,328,William P. Murphy,,male,1892-02-06,USA
924,716,William Vickrey,,male,1914-06-21,Canada
925,63,Willis E. Lamb,,male,1913-07-12,USA
926,529,Willy Brandt,,male,1913-12-18,Germany
927,624,Winston Churchill,,male,1874-11-30,United Kingdom
928,673,Wislawa Szymborska,,female,1923-07-02,Poland
929,594,Wladyslaw Reymont,,male,1867-05-07,Russian Empire
930,663,Wole Soyinka,,male,1934-07-13,Nigeria
931,739,Wolfgang Ketterle,,male,1957-10-21,West Germany
932,137,Wolfgang Paul,,male,1913-08-10,Germany
933,50,Wolfgang Pauli,,male,1900-04-25,Austria
934,483,Woodrow Wilson,,male,1856-12-28,USA
935,557,Yasser Arafat,,male,1929-08-24,Egypt
936,642,Yasunari Kawabata,,male,1899-06-11,Japan
937,559,Yitzhak Rabin,,male,1922-03-01,British Mandate of Palestine
938,826,Yoichiro Nambu,,male,1921-01-18,Japan
939,927,Yoshinori Ohsumi,,male,1945-02-09,Japan
940,265,Yuan T. Lee,,male,1936-11-19,Taiwan
941,794,Yves Chauvin,,male,1930-10-10,Belgium
942,726,Zhores Alferov,,male,1930-03-15,USSR
